Apple,118.93,682470.0
Google,531.0,363470.0
Facebook,74.47,206200.0
Twitter,48.01,29720.0
Cisco Systems,27.24,140620.0
Microsoft,42.41,343750.0
Oracle,42.98,190700.0
Yahoo!,42.94,41130.0
Adobe Systems,72.54,35880.0
Alibaba Group Holding,85.68,214510.0
Amazon.com,374.28,172020.0
AMD,3.03,2230.0
Baidu,211.78,74350.0
BlackBerry,9.98,5260.0
Activision Blizzard,22.1,16060.0
Electronic Arts,55.14,17030.0
eBay,54.5,68050.0
GoPro,47.12,6290.0
Hewlett-Packard,37.95,68450.0
International Business Machines,156.72,156800.0
Intel,33.29,161700.0
King Digital Enter.,13.56,4270.0
Netflix,444.36,27220.0
Nokia,7.65,28910.0
QUALCOMM,66.35,108670.0
Weibo,12.49,2480.0
Zynga,2.74,2470.0
Nuance Communications,13.86,4370.0
Tesla Motors,217.36,26990.0
Koninklijke Philips,28.06,26300.0
Samsung Electronics,1249.89181877,207170.47996
LG Electronics,54.9332920347,9283.08865395
Daum Kakao,132.732680754,7734.38887851
Naver,651.364905552,21089.646942
HTC,5.0058427818,4179.64185327
Hon Hai Precision Industry,2.75716135553,40425.733506
Hitachi,6.61807972294,35389.4520939
NEXON,9.74260688287,4048.35157445
Panasonic,11.1211983659,28412.4342227
Rakuten,14.2188261798,18325.1794691
Sony,26.3823742035,26563.1041845
Lenovo Group,1.48329678834,15728.1052496
Tencent Holdings,17.3094286083,163807.558365
