Apple,118.93,682470.0
Google,531.0,363470.0
Facebook,74.47,206200.0
Twitter,48.01,29720.0
Cisco Systems,27.24,140620.0
Microsoft,42.41,343750.0
Oracle,42.98,190700.0
Yahoo!,42.94,41130.0
Adobe Systems,72.54,35880.0
Alibaba Group Holding,85.68,214510.0
Amazon.com,374.28,172020.0
AMD,3.03,2230.0
Baidu,211.78,74350.0
BlackBerry,9.98,5260.0
Activision Blizzard,22.1,16060.0
Electronic Arts,55.14,17030.0
eBay,54.5,68050.0
GoPro,47.12,6290.0
Hewlett-Packard,37.95,68450.0
International Business Machines,156.72,156800.0
Intel,33.29,161700.0
King Digital Enter.,13.56,4270.0
Netflix,444.36,27220.0
Nokia,7.65,28910.0
QUALCOMM,66.35,108670.0
Weibo,12.49,2480.0
Zynga,2.74,2470.0
Nuance Communications,13.86,4370.0
Tesla Motors,217.36,26990.0
Koninklijke Philips,28.06,26300.0
Samsung Electronics,1271.82965688,210804.625995
LG Electronics,54.7935214182,9262.93140781
Daum Kakao,127.091795103,7412.16853794
Naver,620.871681961,20103.1139313
HTC,4.66809082997,3897.77672284
Hon Hai Precision Industry,2.75338238785,40509.5339821
Hitachi,6.73352133574,36082.9739789
NEXON,10.066138068,4182.8428831
Panasonic,11.1157479419,28411.1267077
Rakuten,14.0538125287,18125.7930034
Sony,25.8313626803,26050.5583166
Lenovo Group,1.52969096631,16220.399319
Tencent Holdings,17.1026156942,162513.542795
