Apple,118.63,685840.0
Google,528.48,367960.0
Facebook,74.99,214300.0
Twitter,37.46,23880.0
Cisco Systems,26.83,134900.0
Microsoft,41.28,331350.0
Oracle,42.68,184300.0
Yahoo!,44.69,41750.0
Adobe Systems,71.11,35140.0
Alibaba Group Holding,90.13,221470.0
Amazon.com,364.47,165160.0
AMD,2.67,1990.0
Baidu,217.6,76710.0
BlackBerry,10.07,5360.0
Activision Blizzard,21.12,15060.0
Electronic Arts,54.97,17180.0
eBay,53.71,65810.0
GoPro,52.14,6390.0
Hewlett-Packard,36.47,66760.0
International Business Machines,154.66,153140.0
Intel,33.65,160270.0
King Digital Enter.,13.23,4130.0
Netflix,441.07,26870.0
Nokia,7.6,29240.0
QUALCOMM,65.53,102760.0
Weibo,12.48,2540.0
Zynga,2.57,2300.0
Nuance Communications,13.8,4440.0
Tesla Motors,210.94,25530.0
Koninklijke Philips,28.15,25940.0
Samsung Electronics,1244.5511116,205064.568475
LG Electronics,54.7275214887,9454.58842995
Daum Kakao,133.546061573,7963.67256215
Naver,645.457479352,21427.3701244
HTC,5.02807473908,4171.55727564
Hon Hai Precision Industry,2.77257875202,40922.501031
Hitachi,7.40664804326,36648.8121172
NEXON,9.47401693192,4096.29496741
Panasonic,11.5413858206,28447.6793357
Rakuten,13.8949400719,18110.8348924
Sony,23.0656859479,27422.537738
Lenovo Group,1.39530085369,15286.4106466
Tencent Holdings,17.3832305986,158615.531427
