Apple,117.16,682430.0
Google,534.52,363630.0
Facebook,75.91,212470.0
Twitter,37.53,23810.0
Cisco Systems,26.36,134820.0
Microsoft,40.4,331430.0
Oracle,41.89,183950.0
Yahoo!,43.99,41670.0
Adobe Systems,70.13,34950.0
Alibaba Group Holding,89.08,221430.0
Amazon.com,354.53,164150.0
AMD,2.57,1990.0
Baidu,217.92,76430.0
BlackBerry,10.15,5360.0
Activision Blizzard,20.9,15020.0
Electronic Arts,54.86,17060.0
eBay,53.0,65850.0
GoPro,49.75,6360.0
Hewlett-Packard,36.13,66270.0
International Business Machines,153.31,151930.0
Intel,33.04,159750.0
King Digital Enter.,13.2,4160.0
Netflix,441.8,26730.0
Nokia,7.6,29140.0
QUALCOMM,62.46,103030.0
Weibo,12.44,2520.0
Zynga,2.56,2310.0
Nuance Communications,13.74,4440.0
Tesla Motors,203.6,25530.0
Koninklijke Philips,27.59,25970.0
Samsung Electronics,1243.18994543,205289.91862
LG Electronics,54.9802570895,9451.15163191
Daum Kakao,135.315045961,7869.90126273
Naver,646.131616374,21301.441755
HTC,4.99170681621,4167.75926072
Hon Hai Precision Industry,2.73280151647,40123.2130163
Hitachi,7.45605645178,36047.5249208
NEXON,9.8705604795,4256.75359731
Panasonic,11.4561414695,28140.8744075
Rakuten,14.2489744734,18958.9576824
Sony,22.9420391507,26525.5372059
Lenovo Group,1.30769528379,14468.4747424
Tencent Holdings,17.3714551012,162494.680234
